2026-07-17 18:34:47 | INFO     | edge_ai_app | Inference service started
2026-07-17 18:34:47 | DEBUG    | edge_ai_app | Frame 0 captured: latency_ms=11.6
2026-07-17 18:34:47 | INFO     | edge_ai_app | Frame 0 done: class=person confidence=0.668 latency_ms=11.6
2026-07-17 18:34:47 | DEBUG    | edge_ai_app | Frame 1 captured: latency_ms=23.4
2026-07-17 18:34:47 | ERROR    | edge_ai_app | High latency on frame 1: 23.4ms — possible frame drop
2026-07-17 18:34:47 | INFO     | edge_ai_app | Frame 1 done: class=person confidence=0.959 latency_ms=23.4
2026-07-17 18:34:47 | DEBUG    | edge_ai_app | Frame 2 captured: latency_ms=11.9
2026-07-17 18:34:47 | INFO     | edge_ai_app | Frame 2 done: class=person confidence=0.877 latency_ms=11.9
2026-07-17 18:34:47 | DEBUG    | edge_ai_app | Frame 3 captured: latency_ms=8.4
2026-07-17 18:34:47 | INFO     | edge_ai_app | Frame 3 done: class=person confidence=0.609 latency_ms=8.4
2026-07-17 18:34:47 | DEBUG    | edge_ai_app | Frame 4 captured: latency_ms=12.6
2026-07-17 18:34:47 | INFO     | edge_ai_app | Frame 4 done: class=person confidence=0.754 latency_ms=12.6
2026-07-17 18:34:47 | DEBUG    | edge_ai_app | Frame 5 captured: latency_ms=20.9
2026-07-17 18:34:47 | INFO     | edge_ai_app | Frame 5 done: class=person confidence=0.720 latency_ms=20.9
2026-07-17 18:34:47 | DEBUG    | edge_ai_app | Frame 6 captured: latency_ms=18.4
2026-07-17 18:34:47 | INFO     | edge_ai_app | Frame 6 done: class=person confidence=0.960 latency_ms=18.4
2026-07-17 18:34:47 | DEBUG    | edge_ai_app | Frame 7 captured: latency_ms=8.5
2026-07-17 18:34:47 | INFO     | edge_ai_app | Frame 7 done: class=person confidence=0.728 latency_ms=8.5
2026-07-17 18:34:47 | DEBUG    | edge_ai_app | Frame 8 captured: latency_ms=9.9
2026-07-17 18:34:47 | INFO     | edge_ai_app | Frame 8 done: class=person confidence=0.630 latency_ms=9.9
2026-07-17 18:34:47 | DEBUG    | edge_ai_app | Frame 9 captured: latency_ms=13.8
2026-07-17 18:34:47 | INFO     | edge_ai_app | Frame 9 done: class=person confidence=0.688 latency_ms=13.8
2026-07-17 18:34:47 | DEBUG    | edge_ai_app | Frame 10 captured: latency_ms=23.7
2026-07-17 18:34:47 | ERROR    | edge_ai_app | High latency on frame 10: 23.7ms — possible frame drop
2026-07-17 18:34:47 | INFO     | edge_ai_app | Frame 10 done: class=person confidence=0.633 latency_ms=23.7
